texto,sentimiento
"El presidente de Adimra, Elio Del Re, advirtió en un comunicado que la “fuerte retracción del consumo interno estaba afectando de manera directa a la producción y deteriorando la rentabilidad de muchas empresas metalúrgicas”.",negativo
También sostuvo que la demanda “sigue en caída libre” y que cada vez más firmas estaban trabajando muy por debajo de su capacidad.,negativo
"El propio relevamiento mostró, a su vez, que seis de cada 10 empresas del sector no esperan una mejora en la producción durante los próximos tres meses.",negativo
"En tanto, Del Re subrayó que el sector seguirá profundizando su tendencia negativa en los primeros meses de 2026, con niveles de capacidad ociosa críticos y sin señales concretas de recuperación en el corto plazo.",negativo
"La guerra en Irán está causando incertidumbre y perturbaciones comerciales, inflacionarias y financieras que frenarán el crecimiento económico mundial hasta el 2,6 % en 2026, tres décimas menos que en 2025, anticipó este miércoles ONU Comercio y Desarrollo (UNCTAD).",negativo
"La agencia de Naciones Unidas condiciona ese indicador a que el conflicto no se intensifique más, en un análisis realizado tras un mes de hostilidades en el que también predice una desaceleración aún mayor en el crecimiento del comercio de mercancías, desde el 4,7 % de 2025 a entre un 1,5 % y un 2,5 % en 2026.",negativo
"Es el escenario para una guerra larga que contemplan los expertos del Grupo ASE en su último informe, publicado este miércoles, en el que recogen la evolución al alza de los futuros de la electricidad, que subieron más de un 30 % para el segundo semestre, cuando se prevé una mayor presencia de los ciclos combinados.",negativo
"Esta tecnología, que da respaldo al sistema eléctrico especialmente en momentos como los veranos o los inviernos, cuando el consumo se dispara por el uso de sistemas de climatización, se caracteriza por producir electricidad usando gas, un vector expuesto a la volatilidad de los precios en crisis como la actual.",neutral
"Los costes del sistema mitigan la caída del ’pool’Con todo, el precio diario del mercado mayorista de la electricidad o ’pool’ en España se acercó a los 42 , en torno a un 20 % menos que hace un año, apoyado en las renovables y una elevada carga de base nuclear.",neutral
"Volatilidad al alzaDesde el Grupo ASE observan cómo la crisis en Oriente Próximo, junto con el comportamiento del ’mix’, intensificó la volatilidad intradía y la diferencia entre horas con precios bajos (horas solares, entre las 10:00 y las 19:00) y los picos de demanda (entre las 20:00 y las 23:00 horas).",neutral
"Europa Press EmpresasRovi mejora un 3% el beneficio y anuncia un dividendo de 0,9594 eurosRedacci�n: M� LUISA VERBOAl Drago |",positivo
Bloomberg Energ�aRepsol dispara dividendo por encima del euro por primera vez en 15 a�osRedacci�n: MIGUEL �.,positivo
"| EXPANSI�N. Distribuci�n y ConsumoLogista merma un 8,4% su beneficio, pero mantiene sus previsiones y el dividendoRedacci�n: M� LUISA VERBOFoto: Christophe Morin.",negativo
| EXPANSI�N. IndustriaArcelorMittal dispara su beneficio anual y aumenta el dividendoRedacci�n: M� LUISA VERBOKiko Huesca |,positivo
"PATI�OEXPANSI�N Energ�aNaturgy gana un 6% m�s y enfila un dividendo de 1,7 euros para 2025Redacci�n: MIGUEL �.",positivo
"El petróleo supera los 114 dólares por barril y su precio escala a máximos de julio de 2022El precio del ‘brent’ va camino de cerrar marzo con una subida del 55%, el mayor alza mensual de la historia.",positivo
"El precio del petróleo brent, de referencia en Europa, se dispara más de un 55% en marzo, en la mayor subida mensual de la historia.",positivo
"El barril, que ha cerrado este lunes en 112,78 dólares, ha continuado su camino al alza en el mercado de futuros y ya se sitúa por encima de 114 dólares, su nivel más caro desde inicios de julio de 2022.",positivo
"El conflicto ha entrado en su quinta semana sin que se vislumbre una solución y esto permite que los precios de las fuentes de energía, claves para la inflación y el crecimiento, alcancen nuevas cotas.",negativo
"Trump ha lanzado este lunes una nueva batería de amenazas contra Irán en redes sociales si no se alcanza “un acuerdo pronto, lo cual es probable, y si el estrecho de Ormuz no se abre inmediatamente al tráfico marítimo”.",neutral
El alza ronda el 55% en su mayor aumento mensual de la historia.,positivo
"Los máximos, próximos a los 150 dólares, datan de julio de 2008, cuando también se combinaron problemas en el Golfo con una fuerte demanda procedente de China.",neutral
"Una subida que también se vislumbra en el barril West Texas, referencia en Estados Unidos, que avanza un 50% en el mes, y en el contrato del gas natural TTF, que se negocia en Países Bajos y es la referencia en Europa.",neutral
"El encarecimiento de los combustibles ha tenido también su reflejo en otros mercados financieros, con caídas en la renta variable y castigo a la deuda soberana.",negativo
"Esta vía se ha convertido en una preciada puerta de atrás a través de la que el país está logrando sacar hasta siete millones de barriles diarios, su capacidad máxima, pero lejos de los 15 millones de barriles diarios que ha dejado de exportar al mundo por el cierre de Ormuz.",neutral
De la evolución del precio del petróleo en las próximas semanas dependerá la duración de la escalada de la inflación y su impacto en la economía mundial este año.,neutral
"Nathan Sheets, economista jefe global en Citi, mantiene que el PIB mundial crecerá un 2,7% en 2026, si bien, reconoce que “escenarios graves en los que los precios del petróleo permanezcan persistentemente por encima de 100 dólares por barril podrían reducir el crecimiento global en un punto porcentual completo y aumentar la inflación en 2 puntos porcentuales”.",negativo
"Fuertes subidas en el ecuador de la semana en el Ibex 35, que se deja un gap alcista en la apertura.",positivo
"Esto es una buena señal, aunque, para confirmar el final de la corrección, deberíamos esperar a que supere la resistencia de los 17.720 puntos.",neutral
"Parece que se forja un importante nivel de soporte de los 16.247 puntos, precios muy cercanos la media de 200 sesiones y niveles que no debería perder si no queremos ver una complicación de sus perspectivas técnicas.",neutral
"- Indra lanza IndraMind, su nueva división de IA, ciberseguridad y ciberdefensa- Ignacio Martínez: ""Nuestro objetivo es que IndraMind sea un negocio de 1.000 millones en 2030""- Indra, Scania e Iveco compiten por un megacontrato de camiones militares de 1.000 millonesIndra avanza en el desarrollo de soluciones de inteligencia artificial (IA) para Defensa a través de su plataforma IndraMind y ha cerrado un acuerdo de colaboración con la startup tecnológica madrileńa Obuu Tech.",positivo
"El acuerdo entre Indra y Obuu Tech abarca soluciones digitales en ámbitos como la optimización logística, el mantenimiento, la reparación y la revisión de equipos, la ingeniería avanzada y la IA para los sectores de la seguridad y Defensa.",positivo
"De este modo, Obuu aportará su experiencia y activos para potenciar las capacidades de IndraMind, que será la base de los nuevos modelos desarrollados en el marco de esta alianza.",positivo
"""Ambas compańías suman unas capacidades altamente complementarias y que contribuyen a potenciar la posición de la industria espańola en un entorno tecnológico cada vez más exigente y competitivo como es el de la aplicación de herramientas de uso dual basadas en la inteligencia artificial que son ya estratégicas y ofrecen un enorme potencial de crecimiento"".",positivo
"Llevado a un proceso de reducción muy simple, este excepcionalismo estadounidense, esta confianza, explicaría por qué es posible que buena parte de los inversores internacionales, públicos y privados, tanto en democracias como Japón y el Reino Unido, como en países autocráticos como China, compren los bonos del tesoro de EE UU, casi diríamos que sin importar el nivel de deuda o déficit de las arcas estadounidenses.",neutral
No está de más comentar que esta nueva presidencia se desarrolla en un contexto geopolítico muy distinto al vivido desde la caída del Muro de Berlín y la desaparición del bloque soviético.,neutral
"No cabe ninguna duda que los EE UU son y van a seguir siendo durante mucho tiempo la primera potencia mundial: su economía, su moneda, su tecnología, su capacidad de despliegue militar global, que incluye once grandes portaaviones nucleares (China tendrá cinco o seis portaaviones, menos capaces, en 2035; Europa, cuatro) no van a caer de la noche a la mañana.",neutral
"Pero el proceso se ha iniciado porque, sencillamente, Europa ha descubierto que debe ser dueña de su destino y no dependiente de un país que, literalmente, ha cambiado las reglas del juego que le hicieron grande… en beneficio de ninguna de las partes.",neutral
"De justos es reconocer que con el comienzo del conflicto en Irán esta tendencia se ha revertido en cierto grado, en parte por la salida de capitales desde otros “activos refugio”, como el oro.",neutral
"Sin contar la menor apetencia por los bonos del tesoro…Porque, en segundo lugar, está la deuda estadounidense.",neutral
"Resulta sintomático que, incluso dentro de una gestión deshilvanada, Donald Trump suele dar marcha atrás cuando el bono a diez años llega a determinados baremos de rentabilidad (el famoso TACO).",neutral
"En todo caso, sería muy importante una vuelta de los viejos EE UU, confiables sin poner a prueba la cotización de sus bonos.",neutral
ACSAccionesCompetencia Sector InfraestructuraÚltimas noticiasConstrucción y ServiciosACS se adjudica un contrato de 200 millones para la Universidad de Southampton (Reino Unido)Fusiones y adquisiciones,positivo
Otorga visibilidad a partes del negocio con mucho potencial y le ayuda a disminuir la deuda de la matriz.,positivo
"los bancos conviven bien con tipos altos puesto que les abre mucho el margen de intermediaci�n... pero asumen el riesgo de mora e impagos, y menor actividad econ�mica por menor demanda de financiaci�n y consumo.",neutral
"etc es previsible que a la normalizaci�n de la posible demanda y la oferta revitalice los precios (y la producci�n... no olvidemos que en situaciones de conflicto muchos pa�ses productores y exportadores se ven implicados y el shortage encarece mucho los precios, no solo la demanda).",neutral
"Pues sobre ACS te dir�a que la estrategia de la compa��a de crecer fuera y basar su cartera de obras en mercados externos, m�s grandes y con mayor demanda de infraestructuras para mi es un acierto.",positivo
"La caída de José María Álvarez-Pallete como presidente de Telefónica -con el visto bueno de Manuel de la Rocha, director de la Oficina de Asuntos Económicos del Gobierno, otro de los grandes protagonistas en el camino de Escribano en Indra- provocó que Marc Murtra pusiese rumbo a la teleco y que Escribano se convirtiese en el presidente de Indra.",negativo
"Su estilo directo e industrial, alejado del perfil predominante en el Ibex 35, llamó la atención desde el inicio y se hizo notar pronto, dado que tan solo unos días después de su llegada (el 31 de enero de 2025) se concretó la compra de casi el 90% de Hispasat a Redeia por 725 millones de euros.",positivo
"Comparecencia claveLa determinación con la que aterrizó Escribano en Indra quedó patente en alguna de sus primeras declaraciones como presidente de la compańía, en las que reconoció que su intención es hacer ""más ambicioso"" el plan estratégico que la empresa había presentado hacía menos de un ańo.",positivo
"Arranca la operaciónPoco más de un mes después , a finales de abril, saltó la noticia, adelantada por EXPANSIÓN, de que Indra estaba interesada en fusionarse con la empresa familiar de Ángel Escribano, es decir, Escribano Mechanical & Engineering (EM&E).",neutral
"La operación suponía un conflicto de interés evidente debido también a que EM&E es el segundo mayor accionista de Indra después del Gobierno, que posee un 28% de la compańía a través de la Sociedad Estatal de Participaciones Industriales (Sepi).",neutral
"Indra, junto a Navantia y Airbus, se convirtió en la principal receptora de contratos públicos del Ministerio de Defensa y la cotización de la compańía se disparó.",positivo
"La operación, que estaba siendo analizada de forma exhaustiva por parte del Gobierno y de Indra, que contrató los servicios de varias consultoras, estaba pendiente de la valoración que se hacía de EM&E.Esta valoración sería la que determinaría el tipo de canje de la fusión por absorción con la que se planteó desde un primer momento la transacción.",neutral
"Tras esta dimisión, se ha abierto un proceso de sucesión en el cargo, que será liderado por la consejera independiente coordinadora, Virginia Arce, en coordinación con la Comisión de Nombramientos, Retribuciones y Gobierno Corporativo, según ha anunciado Indra a la Comisión Nacional del Mercado de Valores (CNMV).",neutral
Qualitas estudia la compra de Recurrent Energy tras descartar la adquisición de CubicoEl Santander coordina el proceso de venta de la filial de Canadian Solar liderada por Ismael Guerrero.,neutral
"La gestora centrada en renovables busca inversiones para su sexto fondoVarios activos renovables, especialmente los solares, están en horas bajas debido a los precios cero, o bajo cero, de la electricidad en el mercado mayorista, tanto en la Península Ibérica como en la mayoría de los países europeos.",negativo
"En el proceso, coordinado por el Santander, ya hay potenciales interesados en la empresa, como la gestora Qualitas Energy, según diferentes fuentes financieras, y que acaba de descartar la adquisición de la plataforma Cubico.",neutral
"Recurrent Energy es el brazo para el desarrollo de proyectos y producción de energía fotovoltaica, así como de almacenamiento de baterías.",neutral
Su modelo de negocio ha evolucionado de uno centrado en construir para vender a otro en el que mantiene parcialmente la propiedad de los activos para generar ingresos recurrentes a través de la venta de electricidad.,neutral
"La filial reportó el año pasado unos ingresos de 404 millones de dólares (350 millones de euros), lo que supone un aumento del 25% respecto a los de 2024, y unas pérdidas operativas de 153 millones de dólares (133 millones de euros).",negativo
"El peso de Recurrent Energy respecto a la cuenta de pérdidas y ganancias del grupo consolidado es reducido, pues su facturación supuso poco más del 7% del total.",neutral
"La filial registraba a cierre del pasado ejercicio una deuda bruta de 3.800 millones de dólares, con un aumento cercano al 50%, debido a la financiación de nuevos proyectos.",negativo
"En enero de 2024, la mayor gestora de activos del mundo, BlackRock, inyectó 500 millones de euros en Recurrent Energy con la posibilidad de convertir esa aportación en acciones por el 20% del capital, si bien Canadian Solar se mantiene como el máximo accionista del grupo.",positivo
"La operación, en la que participaron el Santander y Bank of America, tenía como objetivo dotar con el capital suficiente a Recurrent Energy para impulsar su crecimiento y llevar a cabo su plan de negocio.",positivo
Su objetivo era pasar de ser un desarrollador a ser un operador a largo plazo con capacidad de generación de energía y los ingresos recurrentes que esta supone.,neutral
"El posible comprador de Recurrent, Qualitas Energy, está en proceso de captar su sexto fondo, que tiene un objetivo de recaudación de 3.250 millones de euros, lo que lo convertiría en el segundo mayor logrado en España.",positivo
"El pasado 7 de marzo, Cinco Días publicó que la gestora de proyectos renovables había descartado la compra del 50% del gigante Cubico, para una valoración del total de unos 7.000 millones de euros.",neutral
"La clave de este crecimiento, ańaden, es la logística.",neutral
"Esperan tener este ańo 200 tiendas y ""la expansión se va a desarrollar en Espańa, donde vemos espacio para tener 1.000 tiendas en los próximos diez ańos"", vaticinan.",positivo
"Además, la salida de Juvé&Camps de la DO Cava, las negociaciones para la venta de Codorníu y la fusión de Pernod Ricard con Brown-Forman.",neutral
"El modelo libertario a partir de 2023, fue percibido como “confuso” en sus etapas iniciales, en parte debido a la simultaneidad y urgencia de las reformas propuestasEste episodio se inscribe en una trayectoria más amplia: la economía argentina ha transitado, en las últimas décadas, una sucesión de enfoques de política económica -heterodoxos y ortodoxos- que más allá de sus diferencias, no han logrado consolidar un sendero sostenido de confianza, credibilidad y crecimiento.",neutral
"En este marco, la cuestión central ya no reside únicamente en la validez del diagnóstico, sino en la capacidad de la política económica para traducir la velocidad y consistencia de los ajustes en un proceso sostenido de construcción de confianza de largo plazo.",neutral
"A dos años del inicio de la gestión, se observan avances concretos junto con persistentes zonas de indeterminaciónMientras la primera refiere a la formación de expectativas estables por parte de los agentes económicos, la segunda alude a la capacidad del gobierno de sostener en el tiempo políticas coherentes con los compromisos asumidos.",neutral
"La ausencia de cualquiera de estas dimensiones tiende a erosionar la efectividad de las políticas, limitando su impacto sobre la inversión, el ahorro y el crecimiento.",negativo
"Países como México, Chile o Brasil exhiben trayectorias que, con matices, reflejan cierta estabilidad relativa, consistente con niveles de inflación moderados y previsibilidad macroeconómica.",neutral
"En contraste, la dinámica de Argentina revela una volatilidad extrema, incompatible con la formación de expectativas de largo plazo.",negativo
- A los avances ya logrados deben sumarse políticas orientadas a consolidar una visión de largo plazo como condición indispensable para sostener el proceso de inversión y crecimiento.,neutral
- El resultado negativo a mediano plazo (2027/2028) por ausencia de confianza y credibilidad intertemporal conduce a recesión económica y clara la postergación de proyectos de inversión.,negativo
"- La ausencia de financiamiento accesible a través del sistema bancario (empresas, familias e individuos), mercado de capitales (instrumentos con O.P.), o insuficiente aporte de capital propio, puede trasladar la demanda de fondos Off-Shore que buscan opciones en economías emergentes (Latam), concentradas en sectores de alto potencial y rentabilidad (Oil&Gas, energías renovables, minería, IA aplicada, agronegocios, otros) y estructuración legal en jurisdicciones creíbles.",neutral
"""Las personas beneficiarias de este plan serán determinadas entre las que componen los equipos directivos tanto de la sociedad como de sus principales sociedades filiales"", detalla ACS en las propuestas a la asamblea general, en la que también se votará la distribución de un dividendo flexible por hasta 670 millones de euros.",neutral
"Como en los planes de incentivos previos, la retribución dependerá del cumplimiento de objetivos ""relacionados con criterios de rentabilidad financiera, crecimiento operativo y evolución en materia de sostenibilidad, evaluados en un mínimo de tres ańos"".",neutral
"Según informa ACS, el precio de adquisición de las acciones objeto de las opciones no podrá ser inferior a su precio de mercado a la fecha de establecimiento del plan de incentivos.",neutral
ACS se ha fijado objetivos de crecimiento y de rentabilidad en línea con los buenos registros en 2025.,positivo
"Para atender los dividendos, ACS acometerá en los tres meses siguientes a la celebración de la junta una primera ampliación de un máximo de 525 millones de euros (el ańo pasado fue de 475 millones) y, en el primer trimestre de 2027, una segunda que no excederá de 145 millones de euros (frente a los 125 millones de euros hace un ańo).",neutral
"A pesar de la caída experimentada desde su máximo histórico de 5.626,80 dólares, la entidad financiera suiza prevé que el precio de la onza de oro remontará hasta alcanzar los 6.200 dólares a finales del mes de junio.",positivo
"El oro acumula una revalorización del 49,35% en el último año, con varios altibajos que le permitieron rozar su máximo histórico el pasado 29 de enero, cuando tocó los 5.626,80 dólares.",positivo
"El metal amarillo ha eliminado prácticamente todas las ganancias registradas en 2026, ya que inicialmente había subido un 25% en el primer mes del año, pero sufrió una caída del 12,22% entre el 17 y el 23 de marzo, durante un periodo de recrudecimiento del conflicto en Oriente Próximo.",negativo
Esta caída representa una de las más pronunciadas en un intervalo tan corto en más de cuatro décadas.,negativo
"En concreto, la subida de los precios energéticos ""ha llevado a los mercados a descontar una política monetaria más restrictiva"" partiendo de la hipótesis de que los bancos centrales subirán los tipos o retrasarán los recortes para contrarrestar el incremento de la inflación general.",negativo
"""Esto eleva los costes de oportunidad de mantener activos que no generan rendimiento, como el oro"", agrega.",negativo
"Sobre esta cuestión, los mercados han pasado de descontar dos recortes y medio de los tipos de interés por parte de la Reserva Federal (Fed, por sus siglas en inglés) en 2026 a no prever ninguna nueva relajación este año, e incluso a una pequeña probabilidad de subida, mientras que la previsión para el Banco Central Europeo (BCE) es de tres subidas de tipos.",neutral
"""Creemos que esto es excesivo, especialmente teniendo en cuenta el posible lastre para el crecimiento que supone el prolongado aumento de los precios de la energía"", afirman los analistas de UBS, que también esperan una reactivación de la demanda de oro por parte de los inversores y los bancos centrales a medida que remita la preferencia por la liquidez derivada de la crisis de Oriente Próximo.",neutral
"Vesto es una aplicación española de inversión lanzada en 2021, respaldada por el grupo financieroCreandy operada por ACapital, entidad regulada por la CNMV, que ya suma más de 30.000 inversores en España.",neutral
"RegulaciónVesto está registrado en la CNMV como agente comercial de ACapital BB (nº 270), bajo su supervisión directa y la normativaMiFID II europea.",neutral
"Protege los activos con cuentas segregadas y ómnibus, más cobertura SIPC de hasta 500.000 USD (incluyendo 250.000 USD en efectivo) para inversiones en EE.UU.AccionesVesto ofrece acceso directo a los principales mercados bursátiles de Estados Unidos: S&P 500, Nasdaq, Dow Jones y NYSE.",neutral
Estas colecciones son esencialmente portfolios temáticos de acciones que permiten a los usuarios comprar un conjunto diversificado de activos.,neutral
Su supervisión por parte de la CNMV y el respaldo del grupo financiero Creand aportan un marco de seguridad que prioriza la transparencia y la protección del capital.,neutral
"Como en cualquier inversión en mercados financieros, existe riesgo de pérdida de capital y los rendimientos pasados no garantizan resultados futuros.",neutral
"El mercado inmobiliario del Área Metropolitana de Buenos Aires (AMBA) registró una recuperación en los valores de venta, con un impulso marcado en el segmento de departamentos.",positivo
"Este incremento global refleja una dinámica de recomposición de precios tras periodos de estancamiento, aunque el comportamiento varía significativamente según la zona geográfica y el tipo de propiedad.",neutral
"En esta región, los departamentos experimentaron un alza del 6,4% interanual en sus valores en dólares.",positivo
"Sin embargo, el dato mensual de marzo arroja una leve contracción del -0,1%, lo que sugiere una pausa en la escalada de precios en la Ciudad tras meses de tendencia alcista.",negativo
"No obstante, la evolución mensual muestra matices: mientras GBA Oeste tuvo una suba del 0,3%, GBA Sur reflejó una caída marginal del -0,1% en comparación con el mes de febrero.",neutral
"Dentro de los límites de CABA, el barrio de Saavedra se destacó como el de mayor crecimiento, con un aumento del 12,9% interanual en el precio de venta por metro cuadrado.",positivo
Estas cifras contrastan con el dinamismo general y marcan focos de demanda puntual o revalorización de zonas específicas.,neutral
"En contraposición, el precio de las casas en GBA Oeste fue el único indicador que mostró una caída significativa en la comparación interanual, con un retroceso del -4.0%.",negativo
"Demanda en bajaA pesar de la recuperación en los precios de lista, el informe advierte sobre un “bajo dinamismo del sector” en lo que respecta a la demanda efectiva.",negativo
"En febrero de 2026, la demanda de departamentos en venta en CABA cayó un 5,9% respecto al mismo mes de 2025.",negativo
"Bajo este parámetro, el mercado de departamentos se mantiene “al alza” en CABA, GBA Sur y GBA Oeste.",positivo
La guerra en Irán golpea la deuda europea y fuerza el repunte de las primas de riesgoLos desequilibrios fiscales estrechan el margen de respuesta frente a la crisis.,negativo
"Charlotte Daughtrey, especialista en inversiones en renta variable de la gestora estadounidense Federated Hermes —con activos bajo gestión de 902.600 millones de dólares—, confía en que el conflicto finalice en las próximas semanas.",neutral
"Necesitamos volatilidad para obtener rentabilidad, pero no saber cuánto tiempo va a durar esto añade algunos riesgos más a la ecuación.",neutral
"Como inversores nos encontramos en el lado optimista, esperando que ese sea el caso, porque los mercados pueden capear esas tensiones geopolíticas a menos que se conviertan en una desaceleración económica más prolongada.",neutral
Se verá que eso afecta a la confianza de los consumidores de EE UU y sabemos que el 70% del PIB de Estados Unidos lo generan los consumidores.,neutral
"No sabemos cuándo se producirá esa resolución, porque, con suerte, si la hay, se obtendrá una especie de dividendo de la paz y podríamos ver un repunte de la renta variable.",neutral
"P. Si el conflicto se prolonga hasta final de abril, ¿no será un período lo bastante prolongado como para impactar en la inflación y los tipos de interés?",neutral
R. Habrá un efecto de arrastre en la inflación.,neutral
La Reserva Federal puede soportar que la inflación sea un poco más alta en este momento.,neutral
"Dado que no recortó tipos tan pronto como bajó la inflación, también podría interpretarse que no va a elevarlos tan pronto como la inflación vuelva a subir.",neutral
La Fed ha hecho tan buen trabajo tratando de controlar la inflación que deberíamos ser capaces de soportar un par de meses de mayor inflación.,neutral
P. ¿Qué previsión de tipos de interés tienen ahora para EE UU?,neutral
"La rebaja sería más bien hacia la segunda mitad del año, quizá al final del último trimestre.",neutral
"P. Según su análisis, ¿es momento entonces de seguir invertido, a la espera de un rally en el momento en que se reabra Ormuz?R. Como inversor, quizá haya que buscar los aspectos positivos del entorno.",neutral
"Y aunque esta crisis energética genera volatilidad, hay empresas que se van a beneficiar de ello.",neutral
"Por eso nos gustan mucho las empresas de calidad, con balances realmente sólidos, con un apalancamiento escaso o bajo, lo cual es clave, para que puedan soportar parte de ese aumento de los costes de los insumos que se producirá con el aumento de la inflación.",neutral
"Ya habíamos elevado la exposición al sector energético, fue una casualidad, habíamos analizado que EE UU quiere aumentar la producción de petróleo y pensamos que esto era un fuerte impulso a favor.",positivo
¿Qué perspectivas ve para este tipo de valores?,neutral
"Nos gustan especialmente compañías como Martin Marietta —uno de los principales proveedores estadounidenses de áridos, cemento y materiales de construcción utilizados en carreteras, puentes y proyectos de infraestructura pública—; Teradyne, que desarrolla equipos de prueba para verificar el rendimiento y la fiabilidad de los semiconductores antes de la producción en serie, o Woodward, que diseña sistemas de control avanzados para plataformas de propulsión aeroespaciales, de defensa e industriales.",neutral
"Con sede en Madrid, Activotrade está registrado en la Comisión Nacional del Mercado de Valores (CNMV).",neutral
RegulaciónActivoTrade opera bajo supervisión de la CNMV y está registrada en la Comisión Nacional del Mercado de Valores como entidad autorizada para prestar servicios de inversión en España.,neutral
"La protección del inversor se articula a través del Fondo de Garantía de Inversiones (FOGAIN), con coberturas de hasta 100.000 euros.",neutral
"- España: IBEX 35, Mercado Continuo, BME Growth.",neutral
"A través de su plataforma, es posible operar con ETFs de la bolsa española, europea y estadounidense, así como con productos vinculados a activos y tendencias como el oro, Bitcoin, la robótica, la ciberseguridad, la inteligencia artificial o la energía.",neutral
"Los futuros disponibles incluyen:- Futuros sobre S&P 500 y Nasdaq 100- Futuros sobre oro- Futuros sobre petróleo- Futuros sobre gas natural- Futuros sobre divisas (EUR/USD, USD/JPY, EUR/GBP, USD/GBP)Las comisiones parten desde 2 USD por contrato.",neutral
"Opciones y productos apalancadosEl bróker permite operar con opciones en el mercado estadounidense, incluyendo tanto opciones sobre acciones como sobre índices, con unas comisiones que se sitúan entre los 2 y 3 dólares por contrato.",neutral
"Activotrade es una opción que encaja a la perfección con un perfil de inversor activo que prioriza la operativa en acciones globales, la inversión en ETFs temáticos y el acceso a instrumentos más avanzados como futuros y opciones sobre mercados estadounidenses.",neutral
"En 2026, ActivoTrade se posiciona como un bróker nacional enfocado en el inversor activo, que combina acceso a mercados globales con una oferta competitiva y una operativa profesional.",neutral
"- Paramés ultima el cierre de sus fondos estrella a nuevos inversores- El alza del precio del petróleo dispara la rentabilidad de los fondos de energíaLas grandes gestoras 'value', que ya gestionan miles de millones, han profesionalizado sus estructuras, ampliado su oferta y engordado sus equipos.",positivo
"""Solo se cierran estos dos fondos y tanto la cartera ibérica, como la de concentrados, como la estrategia de grandes compańías van a seguir abiertas y, por el tamańo que tienen, no hay previsión de que se vayan a cerrar"".",neutral
"El gestor deslizó además la posibilidad de lanzar otras alternativas de inversión en el futuro, como podría ser un fondo de fondos, tratando de demostrar cómo Cobas lleva ańos intentando anticiparse a este momento de cierre de sus productos estrella y convertirse en una gestora con una oferta más completa que le de continuidad en el largo plazo.",neutral
"A principios de 2017, la Comisión Nacional del Mercado de Valores (CNMV) dio luz verde a la gestora, y tras unos ańos de inicio complicados, en los últimos cinco ejercicios Cobas ha disparado su patrimonio bajo gestión impulsado por las fuertes ganancias de sus fondos.",positivo
Este crecimiento ha obligado a la gestora a reforzar su estructura a nivel corporativo.,positivo
"En cuanto a la oferta, Cobas gestiona además de los fondos de Bolsa mencionados un fondo mixto de renta fija, como alternativa para que sus clientes encuentren refugio cuando la Bolsa cae, sin salir del mercado, y un hedge fund.",neutral
Fondos de autorOtra de las tendencias que también se ha impuesto recientemente entre los value como muestra de la profesionalización de este grupo de gestoras es renunciar a la etiqueta de 'fondo de autor'.,neutral
"Esta figura que comenzó siendo una formalidad impuesta por la CNMV para los productos estrechamente vinculados a un gestor, otorga derecho de separación a los partícipes en caso de la salida del inversor.",neutral
"La gestora registró un crecimiento espectacular desde el Covid y, en 2026, está volviendo a protagonizar fuertes cifras de aumento de patrimonio con la rentabilidad de sus fondos disparada.",positivo
"A falta de unos días para cerrar el primer trimestre del ejercicio, Azvalor ha sumado más de 1.000 millones de euros a su patrimonio en este tiempo.",positivo
"El fondo estrella de la gestora, el Azvalor Internacional, acumula en el ańo un retorno superior al 22%.",positivo
La entidad liderada por Enrique Pérez-Pla cuenta con activos bajo gestión valorados en 7.640 millones de euros.,neutral
Bestinver ha apostado de manera decidida en los últimos ejercicios por potenciar una rama de inversión en activos ilíquidos.,neutral
"Tiene 785 millones en activos y cuenta con fondos de infraestructuras y un fondo de private equity, en alianza con BlackRock.",neutral
"NBI Bearings Europe ha obtenido un beneficio después de impuestos acumulado de 2,2 millones de euros en 2025 vs los 2,8 millones de euros registrados en 2024.",negativo
"Las desviaciones provienen principalmente del descenso de las ventas y su impacto en el margen bruto (1.360,3 mil euros), el incremento de 417,9 mil euros en la partida de amortización total y el aumento en 171,9 mil euros del gasto financiero.",negativo
"El EBITDA de 2025 alcanza 8,2 millones de euros, registrando un descenso del 1,9% en comparación con el mismo periodo del año anterior.",negativo
"Eliminando el efecto de la disminución de la activación de I+D, el EBITDA 2025 hubiera sido ligeramente superior al de 2024.",neutral
"Los ingresos se situaron en 49,9 millones de euros en 2025, disminuyendo un 6,4% respecto a 2024.",negativo
"Los principales motivos de dicho descenso han sido 1,8 millones de euros de la unidad de aeronáutica, 1,4 millones de NBI industrial Oradea y 1 millón de euros por la pérdida de ingresos por la venta de Betiko.",negativo
"La deuda financiera neta ha disminuido en 3,3 millones de euros situándose en 31,6 millones de euros.",positivo
"Esto sitúa el ratio DFN/EBITDA en 3,8x.",neutral
"Comportamiento por divisionesLa división de rodamientos de Oquendo mantiene sus objetivos de conseguir pedidos fabricables superiores a 5 millones de euros y consolidar el tercer turno iniciado en noviembre, lo que implica un aumento del 89% en valor de producción respecto a 2024.",positivo
"En India, buscan superar los 4 millones de euros en pedidos y comenzar la nueva fábrica en abril de 2025, con el tercer turno ya iniciado parcialmente en diciembre, duplicando la producción.",positivo
"Pese a sumar 200 nuevos clientes y expandir el equipo comercial a más de 50 personas, la caída en la facturación de clientes históricos absorbió gran parte del crecimiento esperado.",negativo
"Durante 2025 esta división ha experimentado un crecimiento del 5,8% respecto al ejercicio anterior, elevando su contribución al total de ingresos del Grupo desde el 31% hasta el 38%.",positivo
