texto,etiqueta
"Compré la impresora y es funcional, sin sorpresas.",neutral
"Me arrepiento de la compra, la batería es terrible.",negativo
"La laptop funciona, es sencillo y hace lo que promete.",neutral
"Esperaba más, el ventilador es decepcionante y no cumple lo prometido.",negativo
"El celular resultó regular, ni me encanta ni me molesta.",neutral
"El parlante está bien, nada especial pero común.",neutral
"La tablet funciona, es aceptable y hace lo que promete.",neutral
"Volvería a comprarlo, la tablet es resistente y de buena calidad.",positivo
"El ventilador es sobrevalorado, pedí la devolución de inmediato.",negativo
"Esperaba más, el parlante es complicado y no cumple lo prometido.",negativo
"El reloj es básico, cumple con lo básico.",neutral
"Estoy feliz con la licuadora, es buenísimo y vale cada centavo.",positivo
"Compré el mouse y es normal, sin sorpresas.",neutral
"Me encantó la silla, funciona resistente y llegó rápido.",positivo
"El teclado es regular, hay opciones mejores y peores.",neutral
"Me arrepiento de la compra, la silla es frágil.",negativo
"Me encantó la cafetera, funciona estupendo y llegó rápido.",positivo
El cargador llegó complicado y con fallas desde el primer día.,negativo
"Me arrepiento de la compra, el ventilador es complicado.",negativo
"Estoy feliz con la batería, es genial y vale cada centavo.",positivo
La impresora llegó flojo y con fallas desde el primer día.,negativo
"Una estrella, el ventilador es ruidoso y dejó de funcionar rápido.",negativo
"Esperaba más, la cafetera es decepcionante y no cumple lo prometido.",negativo
"La cafetera funciona, es aceptable y hace lo que promete.",neutral
La cafetera llegó en perfecto estado y es buenísimo.,positivo
"El cargador funciona, es común y hace lo que promete.",neutral
"Es un producto regular, ni bueno ni malo.",neutral
"Cinco estrellas, la silla es rápido y muy fácil de usar.",positivo
"La verdad la cámara superó mis expectativas, es maravilloso.",positivo
"Estoy feliz con el celular, es maravilloso y vale cada centavo.",positivo
"Esperaba más, las zapatillas es ruidoso y no cumple lo prometido.",negativo
"Pésima experiencia, el monitor es frágil y el soporte no responde.",negativo
"Las zapatillas es promedio, hay opciones mejores y peores.",neutral
"El cargador es decepcionante, pedí la devolución de inmediato.",negativo
"La silla es defectuoso, pedí la devolución de inmediato.",negativo
"Muy contento con la compra, la cámara resultó duradero.",positivo
"La impresora resultó común, ni me encanta ni me molesta.",neutral
"La mochila es promedio, hay opciones mejores y peores.",neutral
"La impresora es inservible, pedí la devolución de inmediato.",negativo
"Cinco estrellas, la batería es maravilloso y muy fácil de usar.",positivo
"Lo uso todos los días, la licuadora es rápido y no falla.",positivo
"No vale lo que cuesta, el teclado es terrible y de mala calidad.",negativo
"Esperaba más, el monitor es pésimo y no cumple lo prometido.",negativo
"Lo uso todos los días, el parlante es duradero y no falla.",positivo
El cargador llegó en perfecto estado y es excelente.,positivo
"Cinco estrellas, los audífonos es increíble y muy fácil de usar.",positivo
"El celular es básico, sirve para el uso diario.",neutral
"Me encantó la licuadora, funciona buenísimo y llegó rápido.",positivo
"En general la mochila es sencillo, cumple su función.",neutral
"Pésima experiencia, la laptop es ruidoso y el soporte no responde.",negativo
"El reloj resultó básico, ni me encanta ni me molesta.",neutral
"El parlante es básico, hay opciones mejores y peores.",neutral
"Muy contento con la compra, los audífonos resultó rápido.",positivo
"La laptop es sencillo, sirve para el uso diario.",neutral
"El cargador está bien, nada especial pero aceptable.",neutral
"La cafetera es estupendo, lo recomiendo totalmente.",positivo
"El cargador resultó sencillo, ni me encanta ni me molesta.",neutral
"La impresora funciona, es correcto y hace lo que promete.",neutral
"Excelente relación calidad-precio, la mochila es elegante.",positivo
"La licuadora es promedio, sirve para el uso diario.",neutral
"Excelente relación calidad-precio, el mouse es impecable.",positivo
"Pésima experiencia, la batería es frágil y el soporte no responde.",negativo
"Me arrepiento de la compra, el mouse es inservible.",negativo
"Me arrepiento de la compra, el cargador es incómodo.",negativo
"Cinco estrellas, el parlante es resistente y muy fácil de usar.",positivo
El monitor llegó defectuoso y con fallas desde el primer día.,negativo
"El cargador es sencillo, hay opciones mejores y peores.",neutral
"Muy decepcionado, el teclado resultó pésimo y se dañó pronto.",negativo
"No compren los audífonos, es complicado y una pérdida de dinero.",negativo
"No compren la batería, es malísimo y una pérdida de dinero.",negativo
"No vale lo que cuesta, la batería es complicado y de mala calidad.",negativo
"La mochila resultó básico, ni me encanta ni me molesta.",neutral
"Estoy feliz con la licuadora, es resistente y vale cada centavo.",positivo
"La batería es normal, hay opciones mejores y peores.",neutral
"Volvería a comprarlo, el teclado es resistente y de buena calidad.",positivo
"El ventilador es genial, lo recomiendo totalmente.",positivo
"La silla es funcional, sirve para el uso diario.",neutral
"Me arrepiento de la compra, los audífonos es barato.",negativo
"Compré la laptop y es regular, sin sorpresas.",neutral
"Compré los audífonos y es normal, sin sorpresas.",neutral
"Esperaba más, la batería es flojo y no cumple lo prometido.",negativo
"Pésima experiencia, el celular es terrible y el soporte no responde.",negativo
"La silla es promedio, hay opciones mejores y peores.",neutral
"Muy decepcionado, el monitor resultó frágil y se dañó pronto.",negativo
"La cafetera es básico, cumple con lo básico.",neutral
La aspiradora llegó en perfecto estado y es resistente.,positivo
"En general la tablet es estándar, cumple su función.",neutral
La licuadora llegó en perfecto estado y es buenísimo.,positivo
"Lo uso todos los días, la cafetera es increíble y no falla.",positivo
"Pésima experiencia, la aspiradora es decepcionante y el soporte no responde.",negativo
"Excelente relación calidad-precio, la licuadora es genial.",positivo
"Me encantó las zapatillas, funciona estupendo y llegó rápido.",positivo
"La laptop es barato, pedí la devolución de inmediato.",negativo
"Los audífonos resultó aceptable, ni me encanta ni me molesta.",neutral
"Muy decepcionado, la cámara resultó flojo y se dañó pronto.",negativo
"La impresora funciona, es promedio y hace lo que promete.",neutral
"El cargador funciona, es sencillo y hace lo que promete.",neutral
"Esperaba más, el monitor es inservible y no cumple lo prometido.",negativo
"El celular funciona, es normal y hace lo que promete.",neutral
"No vale lo que cuesta, la laptop es malísimo y de mala calidad.",negativo
"Me arrepiento de la compra, la laptop es inservible.",negativo
"Cinco estrellas, la cámara es excelente y muy fácil de usar.",positivo
"Muy contento con la compra, el monitor resultó estupendo.",positivo
"El teclado funciona, es común y hace lo que promete.",neutral
"Muy contento con la compra, el reloj resultó excelente.",positivo
"La verdad el parlante superó mis expectativas, es duradero.",positivo
"El mouse resultó sencillo, ni me encanta ni me molesta.",neutral
"Una estrella, los audífonos es decepcionante y dejó de funcionar rápido.",negativo
"Compré el celular y es funcional, sin sorpresas.",neutral
"Lo uso todos los días, la laptop es fantástico y no falla.",positivo
"Esperaba más, el ventilador es deficiente y no cumple lo prometido.",negativo
"Compré la impresora y es aceptable, sin sorpresas.",neutral
"Excelente relación calidad-precio, el reloj es genial.",positivo
"Una estrella, la cámara es defectuoso y dejó de funcionar rápido.",negativo
"Me arrepiento de la compra, el ventilador es decepcionante.",negativo
"La licuadora es correcto, cumple con lo básico.",neutral
"El reloj funciona, es común y hace lo que promete.",neutral
"La batería es sencillo, sirve para el uso diario.",neutral
"La batería es barato, no lo recomiendo para nada.",negativo
El monitor llegó ruidoso y con fallas desde el primer día.,negativo
"Lo uso todos los días, el reloj es recomendable y no falla.",positivo
"Estoy feliz con las zapatillas, es elegante y vale cada centavo.",positivo
"Esperaba más, el mouse es ruidoso y no cumple lo prometido.",negativo
"Estoy feliz con la mochila, es impecable y vale cada centavo.",positivo
"La verdad la mochila superó mis expectativas, es fantástico.",positivo
"La verdad la cafetera superó mis expectativas, es buenísimo.",positivo
"La licuadora funciona, es estándar y hace lo que promete.",neutral
"Lo uso todos los días, el celular es rápido y no falla.",positivo
"Una estrella, la laptop es complicado y dejó de funcionar rápido.",negativo
"La laptop es regular, cumple con lo básico.",neutral
"Esperaba más, los audífonos es frágil y no cumple lo prometido.",negativo
"Cinco estrellas, el reloj es impecable y muy fácil de usar.",positivo
"Esperaba más, la licuadora es horrible y no cumple lo prometido.",negativo
"No vale lo que cuesta, los audífonos es frágil y de mala calidad.",negativo
"Volvería a comprarlo, la aspiradora es duradero y de buena calidad.",positivo
"Estoy feliz con el parlante, es práctico y vale cada centavo.",positivo
"La cafetera es lento, pedí la devolución de inmediato.",negativo
"La cámara es funcional, sirve para el uso diario.",neutral
"El mouse está bien, nada especial pero básico.",neutral
"En general la laptop es básico, cumple su función.",neutral
"En general las zapatillas es funcional, cumple su función.",neutral
"No vale lo que cuesta, la licuadora es inservible y de mala calidad.",negativo
"Esperaba más, el parlante es frágil y no cumple lo prometido.",negativo
"Me encantó el teclado, funciona recomendable y llegó rápido.",positivo
"Esperaba más, el reloj es complicado y no cumple lo prometido.",negativo
"La cafetera funciona, es correcto y hace lo que promete.",neutral
"Muy decepcionado, la cafetera resultó decepcionante y se dañó pronto.",negativo
"Producto sencillo, esperaba algo más pero está correcto.",neutral
"Esperaba más, las zapatillas es defectuoso y no cumple lo prometido.",negativo
"Excelente relación calidad-precio, la cafetera es cómodo.",positivo
"El cargador resultó estándar, ni me encanta ni me molesta.",neutral
"La tablet es regular, cumple con lo básico.",neutral
El teclado llegó sobrevalorado y con fallas desde el primer día.,negativo
"Producto promedio, esperaba algo más pero está correcto.",neutral
"No compren la cafetera, es horrible y una pérdida de dinero.",negativo
"Pésima experiencia, la mochila es deficiente y el soporte no responde.",negativo
"La impresora resultó sencillo, ni me encanta ni me molesta.",neutral
"Cinco estrellas, los audífonos es elegante y muy fácil de usar.",positivo
"Muy decepcionado, la tablet resultó ruidoso y se dañó pronto.",negativo
"La cámara es ruidoso, pedí la devolución de inmediato.",negativo
"Compré las zapatillas y es promedio, sin sorpresas.",neutral
"Pésima experiencia, la tablet es inservible y el soporte no responde.",negativo
"Me encantó la silla, funciona estupendo y llegó rápido.",positivo
"No vale lo que cuesta, la laptop es pésimo y de mala calidad.",negativo
"El mouse es común, cumple con lo básico.",neutral
La impresora llegó en perfecto estado y es perfecto.,positivo
La licuadora llegó en perfecto estado y es excelente.,positivo
"Me encantó las zapatillas, funciona rápido y llegó rápido.",positivo
"La cámara es normal, cumple con lo básico.",neutral
"No compren el cargador, es incómodo y una pérdida de dinero.",negativo
"Me arrepiento de la compra, la mochila es decepcionante.",negativo
"La cámara es práctico, lo recomiendo totalmente.",positivo
"El parlante es promedio, sirve para el uso diario.",neutral
"El mouse funciona, es funcional y hace lo que promete.",neutral
"Estoy feliz con el ventilador, es excelente y vale cada centavo.",positivo
"Me encantó la silla, funciona buenísimo y llegó rápido.",positivo
"El ventilador está bien, nada especial pero correcto.",neutral
"La verdad el monitor superó mis expectativas, es estupendo.",positivo
"Compré la cámara y es regular, sin sorpresas.",neutral
"El mouse es frágil, pedí la devolución de inmediato.",negativo
"El reloj es común, sirve para el uso diario.",neutral
"Me encantó la laptop, funciona estupendo y llegó rápido.",positivo
"Muy contento con la compra, el ventilador resultó perfecto.",positivo
"El reloj está bien, nada especial pero sencillo.",neutral
"La aspiradora es estándar, hay opciones mejores y peores.",neutral
"No compren la silla, es lento y una pérdida de dinero.",negativo
"Compré la licuadora y es aceptable, sin sorpresas.",neutral
"El ventilador es básico, sirve para el uso diario.",neutral
"La impresora es deficiente, no lo recomiendo para nada.",negativo
"En general la licuadora es sencillo, cumple su función.",neutral
"Muy decepcionado, el ventilador resultó lento y se dañó pronto.",negativo
"Compré la mochila y es aceptable, sin sorpresas.",neutral
"La verdad la impresora superó mis expectativas, es increíble.",positivo
"La licuadora resultó correcto, ni me encanta ni me molesta.",neutral
"No vale lo que cuesta, el celular es flojo y de mala calidad.",negativo
"Lo uso todos los días, el cargador es excelente y no falla.",positivo
"La verdad la licuadora superó mis expectativas, es impecable.",positivo
"Pésima experiencia, la laptop es incómodo y el soporte no responde.",negativo
"Excelente relación calidad-precio, la aspiradora es maravilloso.",positivo
"Las zapatillas es común, hay opciones mejores y peores.",neutral
"No compren la silla, es ruidoso y una pérdida de dinero.",negativo
"Muy contento con la compra, las zapatillas resultó resistente.",positivo
"Lo uso todos los días, el teclado es cómodo y no falla.",positivo
"Volvería a comprarlo, el parlante es recomendable y de buena calidad.",positivo
"Volvería a comprarlo, la cafetera es buenísimo y de buena calidad.",positivo
"El cargador es común, cumple con lo básico.",neutral
"Me encantó el reloj, funciona cómodo y llegó rápido.",positivo
"Estoy feliz con la silla, es recomendable y vale cada centavo.",positivo
"No vale lo que cuesta, la aspiradora es frágil y de mala calidad.",negativo
"La impresora es flojo, pedí la devolución de inmediato.",negativo
"No vale lo que cuesta, las zapatillas es malísimo y de mala calidad.",negativo
El celular llegó barato y con fallas desde el primer día.,negativo
"Cinco estrellas, la tablet es resistente y muy fácil de usar.",positivo
"Me encantó la impresora, funciona maravilloso y llegó rápido.",positivo
"Producto estándar, esperaba algo más pero está correcto.",neutral
"El parlante es normal, sirve para el uso diario.",neutral
"El mouse es elegante, lo recomiendo totalmente.",positivo
"Lo uso todos los días, la impresora es recomendable y no falla.",positivo
"La cámara es correcto, hay opciones mejores y peores.",neutral
"El celular es regular, cumple con lo básico.",neutral
"La laptop es barato, no lo recomiendo para nada.",negativo
"Cinco estrellas, el ventilador es perfecto y muy fácil de usar.",positivo
"El teclado está bien, nada especial pero aceptable.",neutral
"La batería funciona, es promedio y hace lo que promete.",neutral
"El teclado es horrible, pedí la devolución de inmediato.",negativo
"Volvería a comprarlo, la mochila es cómodo y de buena calidad.",positivo
"Los audífonos es complicado, pedí la devolución de inmediato.",negativo
"El celular está bien, nada especial pero aceptable.",neutral
"Lo uso todos los días, la cámara es genial y no falla.",positivo
"Lo uso todos los días, la silla es cómodo y no falla.",positivo
"Muy contento con la compra, el cargador resultó rápido.",positivo
"La cámara es incómodo, pedí la devolución de inmediato.",negativo
"La impresora es básico, sirve para el uso diario.",neutral
El monitor llegó en perfecto estado y es impecable.,positivo
"Compré el reloj y es estándar, sin sorpresas.",neutral
"La tablet funciona, es regular y hace lo que promete.",neutral
"El mouse es sencillo, sirve para el uso diario.",neutral
"La licuadora resultó normal, ni me encanta ni me molesta.",neutral
"Las zapatillas es básico, sirve para el uso diario.",neutral
"Me arrepiento de la compra, los audífonos es malísimo.",negativo
"Pésima experiencia, el celular es horrible y el soporte no responde.",negativo
"Las zapatillas funciona, es básico y hace lo que promete.",neutral
"La verdad el teclado superó mis expectativas, es excelente.",positivo
"Me encantó el parlante, funciona práctico y llegó rápido.",positivo
"No compren los audífonos, es ruidoso y una pérdida de dinero.",negativo
La cafetera llegó en perfecto estado y es perfecto.,positivo
"El reloj es ruidoso, no lo recomiendo para nada.",negativo
"Lo uso todos los días, la licuadora es estupendo y no falla.",positivo
"Cinco estrellas, la licuadora es maravilloso y muy fácil de usar.",positivo
"Cinco estrellas, la batería es buenísimo y muy fácil de usar.",positivo
"En general el mouse es sencillo, cumple su función.",neutral
"Pésima experiencia, la laptop es malísimo y el soporte no responde.",negativo
"El monitor es sobrevalorado, no lo recomiendo para nada.",negativo
"Compré la batería y es básico, sin sorpresas.",neutral
"En general la cafetera es funcional, cumple su función.",neutral
"Una estrella, la silla es pésimo y dejó de funcionar rápido.",negativo
"La mochila es funcional, cumple con lo básico.",neutral
"No compren la impresora, es decepcionante y una pérdida de dinero.",negativo
"Una estrella, la cafetera es incómodo y dejó de funcionar rápido.",negativo
"Muy decepcionado, el celular resultó deficiente y se dañó pronto.",negativo
"La cámara funciona, es normal y hace lo que promete.",neutral
"La cafetera es estándar, sirve para el uso diario.",neutral
"Me encantó la cafetera, funciona impecable y llegó rápido.",positivo
"No vale lo que cuesta, la silla es pésimo y de mala calidad.",negativo
"Muy decepcionado, el cargador resultó incómodo y se dañó pronto.",negativo
"Me encantó la laptop, funciona elegante y llegó rápido.",positivo
El mouse llegó en perfecto estado y es perfecto.,positivo
"Cinco estrellas, la silla es cómodo y muy fácil de usar.",positivo
"Los audífonos es cómodo, lo recomiendo totalmente.",positivo
Los audífonos llegó en perfecto estado y es rápido.,positivo
"Me encantó la laptop, funciona duradero y llegó rápido.",positivo
"La cafetera está bien, nada especial pero básico.",neutral
"Excelente relación calidad-precio, los audífonos es cómodo.",positivo
"Me encantó la tablet, funciona maravilloso y llegó rápido.",positivo
"No compren la mochila, es barato y una pérdida de dinero.",negativo
"Estoy feliz con la tablet, es impecable y vale cada centavo.",positivo
"Las zapatillas es normal, sirve para el uso diario.",neutral
"El monitor es complicado, pedí la devolución de inmediato.",negativo
"No vale lo que cuesta, la mochila es decepcionante y de mala calidad.",negativo
El reloj llegó incómodo y con fallas desde el primer día.,negativo
"Muy decepcionado, el ventilador resultó frágil y se dañó pronto.",negativo
"Una estrella, la aspiradora es terrible y dejó de funcionar rápido.",negativo
"En general el parlante es básico, cumple su función.",neutral
"Me arrepiento de la compra, la cafetera es terrible.",negativo
"Compré el ventilador y es aceptable, sin sorpresas.",neutral
"Volvería a comprarlo, el monitor es resistente y de buena calidad.",positivo
"Me arrepiento de la compra, la impresora es barato.",negativo
"El ventilador funciona, es correcto y hace lo que promete.",neutral
"El reloj es básico, hay opciones mejores y peores.",neutral
"Es un producto promedio, ni bueno ni malo.",neutral
"Me arrepiento de la compra, el teclado es flojo.",negativo
"Estoy feliz con el parlante, es cómodo y vale cada centavo.",positivo
"Volvería a comprarlo, el cargador es fantástico y de buena calidad.",positivo
"Una estrella, la tablet es decepcionante y dejó de funcionar rápido.",negativo
"El monitor es decepcionante, pedí la devolución de inmediato.",negativo
"Me encantó las zapatillas, funciona maravilloso y llegó rápido.",positivo
"Excelente relación calidad-precio, la impresora es práctico.",positivo
"Compré la cámara y es funcional, sin sorpresas.",neutral
"Esperaba más, la licuadora es complicado y no cumple lo prometido.",negativo
"Muy decepcionado, los audífonos resultó sobrevalorado y se dañó pronto.",negativo
"Compré el teclado y es estándar, sin sorpresas.",neutral
"El celular es cómodo, lo recomiendo totalmente.",positivo
"La batería es ruidoso, no lo recomiendo para nada.",negativo
"En general la tablet es promedio, cumple su función.",neutral
"El monitor es barato, no lo recomiendo para nada.",negativo
"Muy contento con la compra, el ventilador resultó resistente.",positivo
"Muy decepcionado, la licuadora resultó deficiente y se dañó pronto.",negativo
"La silla es correcto, cumple con lo básico.",neutral
"Me encantó la mochila, funciona elegante y llegó rápido.",positivo
"Los audífonos es funcional, sirve para el uso diario.",neutral
"La verdad la tablet superó mis expectativas, es fantástico.",positivo
"Compré la batería y es funcional, sin sorpresas.",neutral
"Compré el teclado y es promedio, sin sorpresas.",neutral
"Compré la silla y es normal, sin sorpresas.",neutral
"El parlante está bien, nada especial pero correcto.",neutral
"Muy decepcionado, la tablet resultó lento y se dañó pronto.",negativo
"El parlante es perfecto, lo recomiendo totalmente.",positivo
"El ventilador es buenísimo, lo recomiendo totalmente.",positivo
"La silla es regular, sirve para el uso diario.",neutral
"Estoy feliz con el teclado, es rápido y vale cada centavo.",positivo
"Estoy feliz con los audífonos, es estupendo y vale cada centavo.",positivo
"La cafetera es aceptable, sirve para el uso diario.",neutral
"No vale lo que cuesta, las zapatillas es flojo y de mala calidad.",negativo
"El celular resultó estándar, ni me encanta ni me molesta.",neutral
"Producto funcional, esperaba algo más pero está correcto.",neutral
"Me arrepiento de la compra, el ventilador es sobrevalorado.",negativo
"La aspiradora funciona, es aceptable y hace lo que promete.",neutral
"El reloj es sencillo, cumple con lo básico.",neutral
"La verdad la tablet superó mis expectativas, es práctico.",positivo
"En general la laptop es aceptable, cumple su función.",neutral
La aspiradora llegó en perfecto estado y es duradero.,positivo
"Lo uso todos los días, el ventilador es excelente y no falla.",positivo
"La verdad la impresora superó mis expectativas, es maravilloso.",positivo
"Los audífonos es rápido, lo recomiendo totalmente.",positivo
"No vale lo que cuesta, la batería es barato y de mala calidad.",negativo
"El teclado funciona, es básico y hace lo que promete.",neutral
"El teclado es funcional, hay opciones mejores y peores.",neutral
"El teclado es lento, no lo recomiendo para nada.",negativo
"La laptop es cómodo, lo recomiendo totalmente.",positivo
"Las zapatillas es sencillo, sirve para el uso diario.",neutral
"En general la batería es sencillo, cumple su función.",neutral
"La laptop resultó común, ni me encanta ni me molesta.",neutral
"El parlante funciona, es regular y hace lo que promete.",neutral
"Muy decepcionado, la cámara resultó decepcionante y se dañó pronto.",negativo
"Pésima experiencia, la mochila es lento y el soporte no responde.",negativo
"La verdad la cafetera superó mis expectativas, es recomendable.",positivo
"El celular resultó aceptable, ni me encanta ni me molesta.",neutral
"Producto común, esperaba algo más pero está correcto.",neutral
"Compré la licuadora y es promedio, sin sorpresas.",neutral
"El parlante es sobrevalorado, pedí la devolución de inmediato.",negativo
"Muy decepcionado, el parlante resultó malísimo y se dañó pronto.",negativo
"Volvería a comprarlo, la cámara es cómodo y de buena calidad.",positivo
"Muy contento con la compra, la batería resultó rápido.",positivo
"Los audífonos es sencillo, sirve para el uso diario.",neutral
"Las zapatillas funciona, es regular y hace lo que promete.",neutral
"Lo uso todos los días, el ventilador es maravilloso y no falla.",positivo
"El celular es sencillo, cumple con lo básico.",neutral
"El monitor funciona, es correcto y hace lo que promete.",neutral
"Compré el mouse y es funcional, sin sorpresas.",neutral
"No compren la cafetera, es barato y una pérdida de dinero.",negativo
"Volvería a comprarlo, el parlante es buenísimo y de buena calidad.",positivo
"La tablet es pésimo, pedí la devolución de inmediato.",negativo
"Pésima experiencia, el teclado es frágil y el soporte no responde.",negativo
"No vale lo que cuesta, el mouse es lento y de mala calidad.",negativo
"Me encantó la silla, funciona fantástico y llegó rápido.",positivo
"Muy contento con la compra, la cafetera resultó maravilloso.",positivo
"La mochila es básico, hay opciones mejores y peores.",neutral
"El monitor es aceptable, hay opciones mejores y peores.",neutral
"Lo uso todos los días, el cargador es elegante y no falla.",positivo
"Una estrella, la batería es inservible y dejó de funcionar rápido.",negativo
"Excelente relación calidad-precio, el celular es fantástico.",positivo
"Muy contento con la compra, el parlante resultó estupendo.",positivo
"Me arrepiento de la compra, la laptop es sobrevalorado.",negativo
"El mouse está bien, nada especial pero común.",neutral
"En general el teclado es correcto, cumple su función.",neutral
"Me arrepiento de la compra, el parlante es lento.",negativo
Las zapatillas llegó en perfecto estado y es resistente.,positivo
"El ventilador resultó correcto, ni me encanta ni me molesta.",neutral
"Me arrepiento de la compra, el monitor es deficiente.",negativo
"La mochila está bien, nada especial pero funcional.",neutral
"El mouse es impecable, lo recomiendo totalmente.",positivo
"Volvería a comprarlo, la cafetera es fantástico y de buena calidad.",positivo
"Pésima experiencia, la cafetera es horrible y el soporte no responde.",negativo
"La cafetera es sencillo, cumple con lo básico.",neutral
"No compren la tablet, es flojo y una pérdida de dinero.",negativo
"Excelente relación calidad-precio, el cargador es rápido.",positivo
"El ventilador es básico, hay opciones mejores y peores.",neutral
"En general la impresora es estándar, cumple su función.",neutral
"Muy contento con la compra, la impresora resultó excelente.",positivo
"No compren el mouse, es lento y una pérdida de dinero.",negativo
"Estoy feliz con el celular, es genial y vale cada centavo.",positivo
"La verdad las zapatillas superó mis expectativas, es fantástico.",positivo
"Me encantó la silla, funciona genial y llegó rápido.",positivo
"Los audífonos es promedio, sirve para el uso diario.",neutral
"La verdad la cafetera superó mis expectativas, es duradero.",positivo
"Las zapatillas funciona, es normal y hace lo que promete.",neutral
"Pésima experiencia, la cámara es complicado y el soporte no responde.",negativo
"Cinco estrellas, la tablet es elegante y muy fácil de usar.",positivo
"En general la tablet es común, cumple su función.",neutral
"En general la tablet es regular, cumple su función.",neutral
"La impresora es promedio, sirve para el uso diario.",neutral
"No vale lo que cuesta, los audífonos es decepcionante y de mala calidad.",negativo
"La cafetera es funcional, hay opciones mejores y peores.",neutral
"Una estrella, la laptop es inservible y dejó de funcionar rápido.",negativo
"Excelente relación calidad-precio, el ventilador es impecable.",positivo
"La verdad la cafetera superó mis expectativas, es perfecto.",positivo
"El reloj es aceptable, cumple con lo básico.",neutral
"Es un producto sencillo, ni bueno ni malo.",neutral
"No vale lo que cuesta, la aspiradora es pésimo y de mala calidad.",negativo
"Volvería a comprarlo, la laptop es increíble y de buena calidad.",positivo
"Las zapatillas es rápido, lo recomiendo totalmente.",positivo
La cámara llegó terrible y con fallas desde el primer día.,negativo
"La laptop funciona, es promedio y hace lo que promete.",neutral
"Volvería a comprarlo, los audífonos es excelente y de buena calidad.",positivo
"La mochila es práctico, lo recomiendo totalmente.",positivo
"La silla es cómodo, lo recomiendo totalmente.",positivo
"Esperaba más, la batería es complicado y no cumple lo prometido.",negativo
"La tablet es regular, sirve para el uso diario.",neutral
"Volvería a comprarlo, la aspiradora es impecable y de buena calidad.",positivo
"La silla es estándar, hay opciones mejores y peores.",neutral
"El parlante es recomendable, lo recomiendo totalmente.",positivo
"No vale lo que cuesta, la impresora es sobrevalorado y de mala calidad.",negativo
"Me encantó el celular, funciona resistente y llegó rápido.",positivo
"Las zapatillas es terrible, no lo recomiendo para nada.",negativo
